2020-04-20 16:04:251 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-20 16:04:169 INFO  HomePage :24 - Clicking on bank manager login button [[ChromeDriver: chrome on WINDOWS (2510c47508be327907870288d29eeb79)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-20 16:04:05 INFO  BankManagerLoginPage :31 - Clicking to add customer [[ChromeDriver: chrome on WINDOWS (2510c47508be327907870288d29eeb79)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-20 16:04:335 INFO  AddCustomerPage :28 - Enter first name Hermoine First name field[[ChromeDriver: chrome on WINDOWS (2510c47508be327907870288d29eeb79)] -> xpath: //input[@placeholder='First Name']]
2020-04-20 16:04:510 INFO  AddCustomerPage :34 - Enter last name GrangerLast name field [[ChromeDriver: chrome on WINDOWS (2510c47508be327907870288d29eeb79)] -> xpath: //input[@placeholder='Last Name']]
2020-04-20 16:04:743 INFO  AddCustomerPage :40 - Enter post code E859ACPost code field[[ChromeDriver: chrome on WINDOWS (2510c47508be327907870288d29eeb79)] -> xpath: //input[@placeholder='Post Code']]
2020-04-20 16:04:589 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-20 16:04:191 INFO  HomePage :24 - Clicking on bank manager login button [[ChromeDriver: chrome on WINDOWS (b070ad5b7ad9b24c116d463d9f1a9f3e)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-20 16:04:603 INFO  OpenAccountPage :33 - Clicking on open account button [[ChromeDriver: chrome on WINDOWS (b070ad5b7ad9b24c116d463d9f1a9f3e)] -> xpath: //button[contains(text(),'Open Account')]]
2020-04-20 16:04:164 INFO  OpenAccountPage :39 - Clicking on customer name [[ChromeDriver: chrome on WINDOWS (b070ad5b7ad9b24c116d463d9f1a9f3e)] -> xpath: //select[@id='userSelect']]
2020-04-20 16:04:423 INFO  OpenAccountPage :45 - Selecting customer name [[ChromeDriver: chrome on WINDOWS (b070ad5b7ad9b24c116d463d9f1a9f3e)] -> xpath: //option[contains(text(),'Hermoine Granger')]]
2020-04-20 16:04:963 INFO  OpenAccountPage :51 - Clicking on currency button [[ChromeDriver: chrome on WINDOWS (b070ad5b7ad9b24c116d463d9f1a9f3e)] -> xpath: //select[@id='userSelect']]
2020-04-20 16:04:84 INFO  OpenAccountPage :57 - Selecting currency as pound [[ChromeDriver: chrome on WINDOWS (b070ad5b7ad9b24c116d463d9f1a9f3e)] -> xpath: //option[contains(text(),'Pound')]]
2020-04-20 16:04:228 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-20 16:04:878 INFO  HomePage :30 - Clicking on customer login button [[ChromeDriver: chrome on WINDOWS (49a7b9fe3247ca4054f8490d0872c691)] -> xpath: //button[contains(text(),'Customer Login')]]
2020-04-20 16:04:946 INFO  CustomerPage :28 - Clicking on your name [[ChromeDriver: chrome on WINDOWS (49a7b9fe3247ca4054f8490d0872c691)] -> id: userSelect]
2020-04-20 16:04:648 INFO  CustomerPage :34 - Clicking on select name [[ChromeDriver: chrome on WINDOWS (49a7b9fe3247ca4054f8490d0872c691)] -> xpath: //option[contains(text(),'Hermoine Granger')]]
2020-04-20 16:04:867 INFO  CustomerPage :40 - Clicking on login button Proxy element for: DefaultElementLocator 'By.xpath: //button[@class='btn btn-default']'
2020-04-20 16:04:905 INFO  CustomerLoginPage :24 - Getting logout text [[ChromeDriver: chrome on WINDOWS (49a7b9fe3247ca4054f8490d0872c691)] -> xpath: //button[@class='btn logout']]
2020-04-20 16:04:750 INFO  CustomerLoginPage :30 - Clicking on logout button [[ChromeDriver: chrome on WINDOWS (49a7b9fe3247ca4054f8490d0872c691)] -> xpath: //button[@class='btn logout']]
